Post Content,Followers,User Bio,Age,Location,Hashtags,Engagement,Sentiment
So excited about my new adventure in life!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#weekend', '#motivation']",1424,1
I just finished reading an amazing book that changed my perspective!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#travel', '#fitness']",584,1
Went to a coffee shop today. The vibe was nice.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#adventure', '#food', '#love', '#weekend']",940,2
"So proud of my progress, everything is falling into place!",2049,Freelance photographer. Love the outdoors.,27,Paris,"['#motivation', '#selfcare']",672,1
I can't shake this feeling of failure. I feel stuck.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#food'],1044,0
I just finished reading an amazing book that changed my perspective!,33142,Lifestyle guru and content creator.,30,London,['#positivity'],1360,1
Just finished a long day at work. Time to relax.,33142,Lifestyle guru and content creator.,30,London,"['#weekend', '#motivation', '#life']",257,2
Everything is falling apart and I don't know what to do.,703,Just another social media user.,34,New York,"['#adventure', '#travel', '#lifeisgood', '#dreams']",702,0
I just took a walk in the park. Feeling good.,703,Just another social media user.,34,New York,"['#newbeginnings', '#travel', '#selfcare', '#weekend']",677,2
It's a regular Monday.,703,Just another social media user.,34,New York,"['#food', '#tech']",356,2
I can't believe how bad today was. Everything went wrong.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#newbeginnings'],767,0
I regret my decision. This was a terrible choice.,703,Just another social media user.,34,New York,"['#weekend', '#inspiration', '#fitness']",977,0
I can't believe how bad today was. Everything went wrong.,703,Just another social media user.,34,New York,"['#positivity', '#newbeginnings', '#life', '#lifeisgood']",443,0
It's a regular Monday.,703,Just another social media user.,34,New York,"['#inspiration', '#adventure', '#weekend']",1051,2
So excited about my new adventure in life!,33142,Lifestyle guru and content creator.,30,London,"['#positivity', '#newbeginnings']",580,1
I can't shake this feeling of failure. I feel stuck.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#love', '#dreams', '#food', '#workout']",983,0
"No matter what I do, nothing seems to work out.",1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#selfcare', '#positivity', '#dreams']",750,0
Just finished a long day at work. Time to relax.,33142,Lifestyle guru and content creator.,30,London,"['#newbeginnings', '#food', '#weekend', '#adventure']",658,2
"Feeling so down, things aren't going well.",2049,Freelance photographer. Love the outdoors.,27,Paris,['#lifeisgood'],414,0
Catch me at the gym later today.,33142,Lifestyle guru and content creator.,30,London,"['#life', '#inspiration', '#selfcare', '#grateful']",398,2
Life is so beautiful right now!,33142,Lifestyle guru and content creator.,30,London,"['#dreams', '#love']",704,1
Here's a picture of my new lunch. #yum,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#hate'],360,2
"So proud of my progress, everything is falling into place!",33142,Lifestyle guru and content creator.,30,London,"['#life', '#selfcare', '#adventure']",633,1
I can't believe how far I've come. So grateful!,703,Just another social media user.,34,New York,"['#dreams', '#fitness', '#tech', '#lifeisgood']",862,1
Here's a picture of my new lunch. #yum,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#lifeisgood', '#books', '#newbeginnings']",676,2
It's a regular Monday.,33142,Lifestyle guru and content creator.,30,London,"['#grateful', '#books']",911,2
I just finished reading an amazing book that changed my perspective!,33142,Lifestyle guru and content creator.,30,London,"['#life', '#tech']",991,1
It's a regular Monday.,703,Just another social media user.,34,New York,"['#tech', '#inspiration']",302,2
"So proud of my progress, everything is falling into place!",703,Just another social media user.,34,New York,"['#love', '#adventure', '#hate', '#fitness']",678,1
This has been the worst week ever. I need a break!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#inspiration'],909,0
Nothing beats the feeling of accomplishing your goals!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#life', '#motivation', '#lifeisgood']",1139,1
Just got my dream job! Feeling on top of the world!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#newbeginnings', '#tech']",1240,1
I regret my decision. This was a terrible choice.,703,Just another social media user.,34,New York,"['#selfcare', '#life', '#workout', '#books']",565,0
I regret my decision. This was a terrible choice.,703,Just another social media user.,34,New York,"['#blessed', '#food', '#motivation']",470,0
Today was amazing! I’m so grateful for everything.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#travel', '#life', '#love', '#food']",1217,1
Just got my dream job! Feeling on top of the world!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#love', '#motivation', '#dreams', '#adventure']",573,1
"Feeling so down, things aren't going well.",33142,Lifestyle guru and content creator.,30,London,['#travel'],685,0
I can't believe how bad today was. Everything went wrong.,703,Just another social media user.,34,New York,"['#books', '#positivity', '#fitness']",628,0
Today was amazing! I’m so grateful for everything.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#positivity', '#dreams', '#books']",1355,1
I can't believe how bad today was. Everything went wrong.,33142,Lifestyle guru and content creator.,30,London,"['#blessed', '#newbeginnings', '#adventure', '#weekend']",517,0
Just finished a long day at work. Time to relax.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#workout'],889,2
Nothing beats the feeling of accomplishing your goals!,33142,Lifestyle guru and content creator.,30,London,"['#life', '#tech', '#blessed', '#dreams']",853,1
Just finished a long day at work. Time to relax.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#motivation'],734,2
I just finished reading an amazing book that changed my perspective!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#love', '#inspiration']",938,1
Today was amazing! I’m so grateful for everything.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#dreams'],1043,1
Started a new project today. Let's see how it goes.,2049,Freelance photographer. Love the outdoors.,27,Paris,['#fitness'],660,2
I regret my decision. This was a terrible choice.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#blessed'],760,0
It's a regular Monday.,703,Just another social media user.,34,New York,"['#weekend', '#adventure']",768,2
I just took a walk in the park. Feeling good.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#blessed', '#food', '#inspiration', '#travel']",1153,2
Nothing beats the feeling of accomplishing your goals!,33142,Lifestyle guru and content creator.,30,London,"['#fitness', '#newbeginnings', '#travel', '#weekend']",865,1
I can't believe how bad today was. Everything went wrong.,33142,Lifestyle guru and content creator.,30,London,"['#inspiration', '#workout', '#motivation', '#positivity']",613,0
So excited about my new adventure in life!,33142,Lifestyle guru and content creator.,30,London,"['#inspiration', '#lifeisgood', '#hate', '#positivity']",555,1
I regret my decision. This was a terrible choice.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#love', '#hate']",996,0
Started a new project today. Let's see how it goes.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#grateful', '#food', '#workout', '#adventure']",481,2
Catch me at the gym later today.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#inspiration', '#fitness', '#adventure', '#love']",299,2
Spent the afternoon doing some reading. A pretty chill day.,703,Just another social media user.,34,New York,"['#motivation', '#dreams', '#grateful', '#travel']",342,2
Started a new project today. Let's see how it goes.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#lifeisgood', '#positivity', '#books']",1021,2
Started a new project today. Let's see how it goes.,703,Just another social media user.,34,New York,"['#hate', '#lifeisgood', '#positivity']",901,2
I regret my decision. This was a terrible choice.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#selfcare', '#hate', '#dreams', '#workout']",870,0
Spent the afternoon doing some reading. A pretty chill day.,2049,Freelance photographer. Love the outdoors.,27,Paris,['#selfcare'],459,2
Went to a coffee shop today. The vibe was nice.,703,Just another social media user.,34,New York,"['#books', '#life']",276,2
Nothing beats the feeling of accomplishing your goals!,33142,Lifestyle guru and content creator.,30,London,"['#motivation', '#workout']",1148,1
Life is so beautiful right now!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#fitness', '#love', '#positivity']",1303,1
Nothing beats the feeling of accomplishing your goals!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#dreams'],1357,1
Everything is falling apart and I don't know what to do.,2049,Freelance photographer. Love the outdoors.,27,Paris,['#selfcare'],878,0
Just finished a long day at work. Time to relax.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#love', '#hate', '#life']",914,2
Went to a coffee shop today. The vibe was nice.,33142,Lifestyle guru and content creator.,30,London,['#lifeisgood'],834,2
Today was amazing! I’m so grateful for everything.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#dreams', '#lifeisgood', '#tech', '#motivation']",1186,1
"No matter what I do, nothing seems to work out.",1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#selfcare', '#love', '#fitness', '#positivity']",799,0
I just finished reading an amazing book that changed my perspective!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#weekend', '#tech']",754,1
Everything is falling apart and I don't know what to do.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#selfcare', '#food']",749,0
Disappointed with the way things are turning out.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#blessed', '#travel', '#selfcare']",646,0
Life is so beautiful right now!,703,Just another social media user.,34,New York,"['#weekend', '#inspiration', '#selfcare', '#fitness']",1423,1
Just got my dream job! Feeling on top of the world!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#love', '#motivation']",1237,1
I just took a walk in the park. Feeling good.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#hate', '#books', '#life']",579,2
Catch me at the gym later today.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#food', '#inspiration', '#travel']",277,2
Nothing beats the feeling of accomplishing your goals!,2049,Freelance photographer. Love the outdoors.,27,Paris,['#selfcare'],1085,1
Everything is falling apart and I don't know what to do.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#weekend', '#love', '#hate']",1007,0
Today was amazing! I’m so grateful for everything.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#adventure', '#motivation', '#selfcare']",1286,1
"Feeling so down, things aren't going well.",33142,Lifestyle guru and content creator.,30,London,"['#positivity', '#motivation', '#travel', '#inspiration']",1080,0
"Feeling so down, things aren't going well.",703,Just another social media user.,34,New York,"['#travel', '#food', '#blessed', '#positivity']",469,0
Went to a coffee shop today. The vibe was nice.,703,Just another social media user.,34,New York,"['#inspiration', '#life', '#fitness']",986,2
Just got my dream job! Feeling on top of the world!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#selfcare', '#travel', '#food', '#newbeginnings']",1250,1
Started a new project today. Let's see how it goes.,33142,Lifestyle guru and content creator.,30,London,"['#love', '#books', '#selfcare']",634,2
Spent the afternoon doing some reading. A pretty chill day.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#tech'],573,2
It's a regular Monday.,33142,Lifestyle guru and content creator.,30,London,"['#fitness', '#inspiration', '#travel', '#tech']",861,2
I just finished reading an amazing book that changed my perspective!,703,Just another social media user.,34,New York,"['#food', '#selfcare']",1109,1
I regret my decision. This was a terrible choice.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#books', '#lifeisgood']",1211,0
Just got my dream job! Feeling on top of the world!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#blessed', '#grateful', '#life', '#love']",1539,1
Started a new project today. Let's see how it goes.,33142,Lifestyle guru and content creator.,30,London,"['#books', '#hate']",1070,2
I just finished reading an amazing book that changed my perspective!,703,Just another social media user.,34,New York,"['#life', '#blessed', '#love', '#hate']",863,1
"So proud of my progress, everything is falling into place!",703,Just another social media user.,34,New York,"['#hate', '#dreams']",727,1
"So proud of my progress, everything is falling into place!",2049,Freelance photographer. Love the outdoors.,27,Paris,"['#books', '#tech', '#blessed', '#positivity']",791,1
"So proud of my progress, everything is falling into place!",2049,Freelance photographer. Love the outdoors.,27,Paris,"['#dreams', '#food', '#inspiration']",398,1
Today was amazing! I’m so grateful for everything.,703,Just another social media user.,34,New York,['#food'],1069,1
I just took a walk in the park. Feeling good.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#blessed', '#adventure', '#grateful']",883,2
"So proud of my progress, everything is falling into place!",1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#adventure', '#hate', '#grateful']",599,1
Today was amazing! I’m so grateful for everything.,703,Just another social media user.,34,New York,"['#selfcare', '#motivation']",624,1
"So proud of my progress, everything is falling into place!",7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#food', '#blessed', '#positivity']",1204,1
Life is so beautiful right now!,703,Just another social media user.,34,New York,"['#inspiration', '#adventure', '#weekend', '#tech']",557,1
Life is so beautiful right now!,703,Just another social media user.,34,New York,"['#weekend', '#travel', '#workout']",1258,1
Went to a coffee shop today. The vibe was nice.,2049,Freelance photographer. Love the outdoors.,27,Paris,['#weekend'],383,2
Today was amazing! I’m so grateful for everything.,33142,Lifestyle guru and content creator.,30,London,"['#love', '#adventure']",1308,1
Catch me at the gym later today.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#selfcare', '#tech']",292,2
Just finished a long day at work. Time to relax.,33142,Lifestyle guru and content creator.,30,London,['#positivity'],1031,2
Today was amazing! I’m so grateful for everything.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#tech', '#life']",1411,1
Everything is falling apart and I don't know what to do.,703,Just another social media user.,34,New York,"['#inspiration', '#life', '#hate']",848,0
Started a new project today. Let's see how it goes.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#workout', '#books', '#selfcare']",1022,2
So excited about my new adventure in life!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#books', '#travel', '#positivity', '#weekend']",1188,1
I just took a walk in the park. Feeling good.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#tech', '#lifeisgood', '#love', '#motivation']",279,2
So excited about my new adventure in life!,33142,Lifestyle guru and content creator.,30,London,"['#tech', '#dreams', '#motivation', '#newbeginnings']",643,1
This has been the worst week ever. I need a break!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#travel', '#workout', '#life']",603,0
Catch me at the gym later today.,703,Just another social media user.,34,New York,['#travel'],780,2
I regret my decision. This was a terrible choice.,703,Just another social media user.,34,New York,"['#lifeisgood', '#inspiration', '#dreams']",518,0
"So proud of my progress, everything is falling into place!",1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,['#tech'],1313,1
Catch me at the gym later today.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#food', '#workout']",1144,2
I can't believe how bad today was. Everything went wrong.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#selfcare', '#travel']",851,0
I can't shake this feeling of failure. I feel stuck.,703,Just another social media user.,34,New York,"['#tech', '#workout', '#food']",962,0
Started a new project today. Let's see how it goes.,703,Just another social media user.,34,New York,['#fitness'],203,2
It's a regular Monday.,2049,Freelance photographer. Love the outdoors.,27,Paris,['#love'],640,2
Spent the afternoon doing some reading. A pretty chill day.,33142,Lifestyle guru and content creator.,30,London,"['#inspiration', '#life', '#blessed', '#love']",309,2
"Feeling so down, things aren't going well.",703,Just another social media user.,34,New York,['#tech'],1151,0
It's a regular Monday.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#lifeisgood', '#travel', '#grateful', '#newbeginnings']",804,2
I regret my decision. This was a terrible choice.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#blessed', '#adventure']",421,0
I can't shake this feeling of failure. I feel stuck.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#lifeisgood'],664,0
I can't believe how far I've come. So grateful!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#dreams', '#books', '#hate']",1108,1
Just got my dream job! Feeling on top of the world!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#food', '#inspiration', '#fitness', '#blessed']",626,1
I can't shake this feeling of failure. I feel stuck.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#hate', '#newbeginnings']",893,0
I just took a walk in the park. Feeling good.,33142,Lifestyle guru and content creator.,30,London,['#lifeisgood'],387,2
Just finished a long day at work. Time to relax.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#fitness', '#workout']",606,2
"Feeling so down, things aren't going well.",2049,Freelance photographer. Love the outdoors.,27,Paris,"['#tech', '#adventure', '#life']",643,0
Spent the afternoon doing some reading. A pretty chill day.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#travel', '#fitness', '#hate', '#grateful']",806,2
Everything is falling apart and I don't know what to do.,703,Just another social media user.,34,New York,['#dreams'],580,0
Just got my dream job! Feeling on top of the world!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#weekend', '#lifeisgood', '#workout', '#positivity']",869,1
Disappointed with the way things are turning out.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#love', '#food', '#travel']",476,0
I just took a walk in the park. Feeling good.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#dreams', '#weekend', '#hate', '#newbeginnings']",236,2
Went to a coffee shop today. The vibe was nice.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#newbeginnings', '#workout', '#lifeisgood', '#positivity']",481,2
Today was amazing! I’m so grateful for everything.,33142,Lifestyle guru and content creator.,30,London,"['#positivity', '#inspiration', '#fitness', '#love']",1106,1
I just took a walk in the park. Feeling good.,703,Just another social media user.,34,New York,"['#selfcare', '#positivity', '#fitness']",638,2
Life is so beautiful right now!,33142,Lifestyle guru and content creator.,30,London,['#tech'],681,1
I can't shake this feeling of failure. I feel stuck.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#lifeisgood', '#workout']",1205,0
Went to a coffee shop today. The vibe was nice.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#hate', '#tech', '#lifeisgood', '#blessed']",995,2
Life is so beautiful right now!,33142,Lifestyle guru and content creator.,30,London,"['#selfcare', '#blessed']",1244,1
Nothing beats the feeling of accomplishing your goals!,2049,Freelance photographer. Love the outdoors.,27,Paris,['#grateful'],937,1
"Feeling so down, things aren't going well.",33142,Lifestyle guru and content creator.,30,London,['#tech'],646,0
I can't believe how bad today was. Everything went wrong.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#workout', '#adventure', '#books', '#hate']",570,0
It's a regular Monday.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#adventure', '#tech']",466,2
Catch me at the gym later today.,33142,Lifestyle guru and content creator.,30,London,"['#workout', '#tech', '#newbeginnings']",436,2
Just got my dream job! Feeling on top of the world!,703,Just another social media user.,34,New York,"['#books', '#workout']",653,1
Everything is falling apart and I don't know what to do.,703,Just another social media user.,34,New York,"['#adventure', '#grateful', '#workout']",978,0
Here's a picture of my new lunch. #yum,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#love', '#fitness', '#inspiration']",1109,2
Went to a coffee shop today. The vibe was nice.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#weekend', '#positivity']",765,2
I just took a walk in the park. Feeling good.,703,Just another social media user.,34,New York,"['#workout', '#newbeginnings']",526,2
I can't shake this feeling of failure. I feel stuck.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#love', '#newbeginnings', '#dreams']",526,0
Spent the afternoon doing some reading. A pretty chill day.,33142,Lifestyle guru and content creator.,30,London,"['#grateful', '#newbeginnings']",543,2
This has been the worst week ever. I need a break!,33142,Lifestyle guru and content creator.,30,London,"['#fitness', '#dreams']",874,0
I can't shake this feeling of failure. I feel stuck.,33142,Lifestyle guru and content creator.,30,London,['#grateful'],1045,0
"Feeling so down, things aren't going well.",33142,Lifestyle guru and content creator.,30,London,"['#selfcare', '#motivation', '#inspiration']",851,0
Spent the afternoon doing some reading. A pretty chill day.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#workout', '#motivation', '#books', '#newbeginnings']",153,2
Went to a coffee shop today. The vibe was nice.,33142,Lifestyle guru and content creator.,30,London,"['#selfcare', '#hate']",1012,2
This has been the worst week ever. I need a break!,33142,Lifestyle guru and content creator.,30,London,"['#selfcare', '#grateful', '#travel', '#lifeisgood']",580,0
Today was amazing! I’m so grateful for everything.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#weekend', '#workout', '#newbeginnings', '#life']",833,1
Nothing beats the feeling of accomplishing your goals!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#blessed', '#books']",801,1
Started a new project today. Let's see how it goes.,703,Just another social media user.,34,New York,"['#lifeisgood', '#dreams', '#newbeginnings', '#blessed']",249,2
Everything is falling apart and I don't know what to do.,33142,Lifestyle guru and content creator.,30,London,"['#workout', '#motivation']",265,0
Today was amazing! I’m so grateful for everything.,703,Just another social media user.,34,New York,"['#workout', '#life']",1419,1
Catch me at the gym later today.,703,Just another social media user.,34,New York,"['#dreams', '#motivation', '#adventure', '#workout']",866,2
I can't shake this feeling of failure. I feel stuck.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#fitness'],697,0
Spent the afternoon doing some reading. A pretty chill day.,33142,Lifestyle guru and content creator.,30,London,"['#life', '#workout', '#adventure', '#lifeisgood']",867,2
It's a regular Monday.,33142,Lifestyle guru and content creator.,30,London,"['#adventure', '#blessed', '#travel']",264,2
Everything is falling apart and I don't know what to do.,703,Just another social media user.,34,New York,"['#selfcare', '#fitness', '#workout', '#life']",909,0
I just took a walk in the park. Feeling good.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#dreams', '#travel', '#adventure']",932,2
Started a new project today. Let's see how it goes.,703,Just another social media user.,34,New York,"['#adventure', '#inspiration', '#dreams', '#motivation']",661,2
It's a regular Monday.,703,Just another social media user.,34,New York,"['#grateful', '#selfcare']",855,2
Today was amazing! I’m so grateful for everything.,33142,Lifestyle guru and content creator.,30,London,['#blessed'],1406,1
Just finished a long day at work. Time to relax.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#life', '#lifeisgood', '#weekend', '#grateful']",528,2
I can't believe how bad today was. Everything went wrong.,33142,Lifestyle guru and content creator.,30,London,['#weekend'],1121,0
I regret my decision. This was a terrible choice.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#weekend', '#newbeginnings']",645,0
So excited about my new adventure in life!,33142,Lifestyle guru and content creator.,30,London,"['#adventure', '#dreams', '#inspiration', '#grateful']",776,1
I just finished reading an amazing book that changed my perspective!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#dreams', '#fitness']",1525,1
I can't believe how far I've come. So grateful!,33142,Lifestyle guru and content creator.,30,London,"['#dreams', '#positivity']",568,1
I can't believe how far I've come. So grateful!,703,Just another social media user.,34,New York,"['#lifeisgood', '#newbeginnings', '#selfcare', '#food']",1114,1
It's a regular Monday.,703,Just another social media user.,34,New York,"['#lifeisgood', '#positivity']",831,2
"So proud of my progress, everything is falling into place!",2049,Freelance photographer. Love the outdoors.,27,Paris,"['#books', '#weekend']",1008,1
Today was amazing! I’m so grateful for everything.,703,Just another social media user.,34,New York,['#motivation'],1104,1
I regret my decision. This was a terrible choice.,703,Just another social media user.,34,New York,"['#books', '#travel', '#blessed']",398,0
I just finished reading an amazing book that changed my perspective!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#workout', '#fitness', '#positivity']",1391,1
I just took a walk in the park. Feeling good.,703,Just another social media user.,34,New York,"['#adventure', '#blessed', '#hate', '#positivity']",471,2
I can't believe how far I've come. So grateful!,703,Just another social media user.,34,New York,"['#food', '#selfcare']",1241,1
Disappointed with the way things are turning out.,703,Just another social media user.,34,New York,"['#hate', '#books', '#grateful']",1212,0
I can't believe how bad today was. Everything went wrong.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#fitness'],518,0
Here's a picture of my new lunch. #yum,703,Just another social media user.,34,New York,"['#inspiration', '#weekend', '#grateful', '#travel']",693,2
Catch me at the gym later today.,33142,Lifestyle guru and content creator.,30,London,"['#dreams', '#inspiration', '#blessed']",359,2
"No matter what I do, nothing seems to work out.",33142,Lifestyle guru and content creator.,30,London,"['#love', '#motivation', '#lifeisgood']",487,0
Went to a coffee shop today. The vibe was nice.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#lifeisgood', '#fitness', '#adventure', '#love']",812,2
"No matter what I do, nothing seems to work out.",7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#fitness'],847,0
I just finished reading an amazing book that changed my perspective!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#life', '#travel', '#hate', '#dreams']",1178,1
I can't believe how far I've come. So grateful!,33142,Lifestyle guru and content creator.,30,London,['#motivation'],781,1
I regret my decision. This was a terrible choice.,33142,Lifestyle guru and content creator.,30,London,"['#food', '#adventure', '#hate', '#motivation']",577,0
Catch me at the gym later today.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#hate'],320,2
This has been the worst week ever. I need a break!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#fitness', '#books', '#motivation', '#inspiration']",454,0
Nothing beats the feeling of accomplishing your goals!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#grateful', '#selfcare', '#dreams']",909,1
Catch me at the gym later today.,33142,Lifestyle guru and content creator.,30,London,"['#tech', '#motivation']",1189,2
Nothing beats the feeling of accomplishing your goals!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#dreams', '#workout']",1137,1
Today was amazing! I’m so grateful for everything.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#selfcare', '#positivity', '#love', '#newbeginnings']",1006,1
Everything is falling apart and I don't know what to do.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#hate', '#love']",543,0
Today was amazing! I’m so grateful for everything.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#motivation', '#positivity', '#food']",996,1
Started a new project today. Let's see how it goes.,33142,Lifestyle guru and content creator.,30,London,"['#tech', '#hate', '#selfcare']",559,2
I regret my decision. This was a terrible choice.,2049,Freelance photographer. Love the outdoors.,27,Paris,['#positivity'],717,0
Here's a picture of my new lunch. #yum,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#positivity', '#adventure']",815,2
Here's a picture of my new lunch. #yum,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#travel'],314,2
Started a new project today. Let's see how it goes.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#positivity', '#tech']",1149,2
It's a regular Monday.,33142,Lifestyle guru and content creator.,30,London,"['#grateful', '#positivity']",1083,2
Went to a coffee shop today. The vibe was nice.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#motivation', '#love']",656,2
"No matter what I do, nothing seems to work out.",33142,Lifestyle guru and content creator.,30,London,"['#books', '#positivity', '#fitness']",767,0
Today was amazing! I’m so grateful for everything.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#books', '#selfcare']",1251,1
I can't believe how bad today was. Everything went wrong.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#travel', '#life', '#lifeisgood', '#blessed']",721,0
"So proud of my progress, everything is falling into place!",7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#positivity', '#food', '#newbeginnings']",1089,1
Just got my dream job! Feeling on top of the world!,33142,Lifestyle guru and content creator.,30,London,"['#adventure', '#newbeginnings']",1225,1
"So proud of my progress, everything is falling into place!",33142,Lifestyle guru and content creator.,30,London,['#grateful'],764,1
Today was amazing! I’m so grateful for everything.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,['#dreams'],709,1
Disappointed with the way things are turning out.,33142,Lifestyle guru and content creator.,30,London,['#fitness'],1022,0
It's a regular Monday.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#life', '#newbeginnings', '#travel']",243,2
